Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;218;05. Jun 13;User;;3;Für Wohnküche nicht brauchbar!;"Ich habe KGE39AI40 von Saturn für 599€ gekauft. Ziemlich günstig.
Eins muss man sofort sagen, das Gerät ist lauter als unser 7 Jahre altes Indesit Kühlschrank!!
Also wenn du Wohnküche hast, Finger weg!!

Wenn deine Küche weit genug zu deinem Schlafbereich ist, dann kann man dieses Gerät für diesen Preis kaufen. Denn
es sieht gut aus
es ist groß
Bietet für 2 Erwachsene und 2 Kinder genug Platz
Gefrierfach ist ziemlich ausreichend
Kühlen und frieren tut es gut"
;219;10. Jun 13;Gaststarter;;4;Technisch erhaben bleibt die Geräuschkulisse als Diskussion;"Ich war verunsichert durch die Rezensionen, aber Positiv eingestellt - hier nun meine Einschätzung:

Der eigentliche Kühlschrank ist bei diesen Geräten selten ein Thema, er ist offenbar toll verarbeitet
und im Falle des 49-40 sicher auch ausreichend groß, wenn es nicht für die Großfamilie sein soll.
Wir gönnen uns ihn sogar im 2 Personenhaushalt ;-) *F*R*E*U* .

Das Hauptthema im Web ist die Geräuschkulisse, da er oft von Leuten gekauft wird die dieses Gerät
in offenen Küchen (also im Wohnzimmer) betreiben wollen:

Vorab: Habe ich es übersehen oder gibt es nach wie vor kein Video(hauptsächlich wegen dem Ton) ?

Meine Einschätzung:

Kühlschrank in einer offenen Küche => Geräusche können nerven, und sind andauernd.

Kühlschrank in einer sep.Küche => Für mich kein Problem.

Kühlschrank in einer sep.Wohnküche => Naja, Wenn ich in der Küche sitze und Zeitungen lese, arbeite
oder sonstiges ""ruhiges"" mache, dann kann das Geräuschkino einem ziemlich auf den Senkel gehen,
da ist aber jeder Mensch anders.

Fakt ist ist mein Alter Energieverschwender ganz einfacher Bauart war und nur ab und an mal
den Kompressor(?) angeworfen hat, zu dieser Zeit war er dann hörbar - ganz sonor - perfekt zum drüberweghören.
Das gute Stück um das es hier geht spielt hingegen ganze Konzerte ab, recht leise Konzerte,
aber in meinem Wohnzimmer wollte ich es nicht stehen haben, da bin ich mir sicher.
(sobald der Fernseher läuft ist es mit Sicherheit gut, aber wer ein Buch lesen will bekäme
sicher das Gefühl das die Kühlgefrierkombination sich anstrengt Aufmerksamkeit zu erhaschen ;) )

Wer die Küche nur zum kochen & essen hat - ok, alle anderen sollten etwas skeptischer sein.

Für die Leute mit wenig Lärmerfahrung/Ahnung: Es geht nicht um die Lautstärke,
da ist der Kühlschrank nämlich recht zurückhaltend, wie sehr genervt man wird
hängt auch von der Art, der Vielfalt und den Intervallen der Geräusche ab.

- Der 70er -"
;220;10. Jun 13;Alf;;5;Tolles Teil!;Bin nach einigen Wochen noch so überzeugt von dem Gerät, dass sich meine auf mein Anraten dasselbe gekauft hat. Ihre teure Miele-Kombination hatte schon nach 6 Jahren den Geist aufgegeben! Nun hoffe ich, dass der niedrige Energieverbrauch den Angaben entspricht und das Gerät dauerhaft und zuverlässig arbeitet. Dann wäre ich SUPER zufrieden.
;221;14. Jun 13;Peter;;5;"Ja, ja er ""rumort"" schon mal…";"Wir haben ihn uns im Austausch zu einem 20 Jahre alten Einbaugerät zugelegt. Wie Andere schon sagten, ist er nicht immer still. Aber auch nicht unangenehm laut.

Vorteile:
- Geringster Stromverbrauch überhaupt
- Super organisiert/aufgeräumt
- Perfekte LED-Ausleuchtung
- Tolles Design
- Einfache Installation und Dokumentation (als Laie Türanschlag in 30 Minuten gewechselt)

Nachteil (wenn man das so sieht):
- Er ist ein ""Familienmitglied"" (meldet sich manchmal durch Blubbern und Zischen zu Wort)

Ich würde ihn auf jeden Fall wieder kaufen!"
;222;22. Jun 13;Gabriele K.;;5;Ein paar zusätzliche Infos …;"Die Lieferung durch Hermes war problemlos, die Zeitspanne von Bestellung bis Anlieferung betrug 1 Woche. Wer Bedenken hat, bei Amazon Großgeräte zu bestellen, den kann ich beruhigen. Wir haben dort bereits zwei Großgeräte bestellt und beide Male lief alles genauso reibungslos wie bei Kleingeräten. Die Leute bei Hermes sind freundlich, die Ware wird bis an den Aufstellungsort transportiert und die Verpackung wieder mitgenommen. Wie es bei Marketplace-Bestellungen aussieht, kann ich allerdings nicht sagen.

Es wurde ja schon viel gesagt zu diesem Modell, weshalb ich mich auf Dinge beschränken möchte, die noch nicht oder nur kurz angesprochen wurden.

Die Klarplastikteile im Gerät sind lt. Aufdruck aus Polystyrol (PS). Das ist einerseits gut, da es für die Lebensmittellagerung als vollkommen unbedenklich gilt, bedeutet aber auch, dass man mit diesen Teilen wirklich pfleglich umgehen muss und sie auch nicht mit scharfen Reinigungsmitteln traktieren sollte, wenn man lange Freude daran haben will.

Die Gefrierschubladen bestehen aus weißem Polypropylen (PP), die Fronten sind aber auch hier aus Polystyrol.

Die Gefrierschubladen haben übrigens seitliche Griffaussparungen, die ganz praktisch sind, wenn man die Schubladen außerhalb des Geräts in die Hand nehmen muss.

Das Innere des Gefrierteils hat nur an der Oberseite ein freiliegendes Kühlelement, Seiten, Rückwand und Boden sind glatt und somit leicht zu reinigen. Die Einschübe sind durch Glasplatten getrennt. Insgesamt dürfte das Abtauen und Reinigen also eine schnelle Angelegenheit sein. Zudem ist es möglich, die Flaschenhalterung aus der Tür des Kühlteils als Auffangbehälter für Tauwasser zu benutzen. Geeignete Schüsseln suchen oder Wasserlachen aufwischen zu müssen ist also passé.

Lt. Bedienungsanleitung kann das Gefrierteil auch voll ausgenutzt werden, indem man die Boxen entfernt und das Gefriergut einfach so hineingestapelt. So können z. B. auch mal größere Fleischstücke, ein Riesentruthahn oder eine hohe Torte aufbewahrt werden.

Da das Gerät zwar zwei getrennt regelbare Kühlkreisläufe hat, aber nur einen Kompressor, sollte man beim manuellen Abtauen berücksichtigen, dass in dem Moment, in dem man den Gefrierteil zum Abtauen vom Stromnetz trennt, auch der Kühlteil abgeschaltet ist. Wir hatten bisher ein Gerät mit zwei Kompressoren, da ließen sich Kühl- und Gefrierteil nicht nur unabhängig voneinander regeln, sondern auch unabhängig voneinander ausschalten. Das sehe ich als einziges wirkliches Manko bei diesem Gerät. Man kann das aber vielleicht ausgleichen, indem man vor dem Abtauen die Funktion „Superkühlen“ benutzt.

Dass der Schriftzug „Siemens“ auf der Kühlschranktür nur aus einer Metallfolie besteht, finde ich in dieser Preisklasse zwar nicht so toll, aber ein wirkliches Manko ist es nicht. Die Türdichtungen finde ich im Direktvergleich mit unserem Altgerät etwas dünn, ob das aber einen Einfluss auf die Qualität/Funktionalität hat, kann ich so nicht beurteilen. Die Lackierung des Geräts war soweit in Ordnung, bis auf einen einzelnen kleinen blauen Fussel. Ich habe mir aber von einem Lackprofi sagen lassen, dass eine gewisse Anzahl von Einschlüssen pro m² lackierter Fläche hinzunehmen ist und nicht als Mangel geltend gemacht werden kann. Zum Glück ist er an einer unauffälligen Stelle.

Für alle, die gerne vorab wüssten, wie groß CrisperBox und CoolBox sind, hier die Maße: Die Crisperbox ist 46 x 43 x 16 cm und die CoolBox 45 x 25 x 10 cm (BxTxH). Bei der angegebenen Höhe ist jeweils der Wellenboden berücksichtigt.

In der Tür ist neben den üblichen Ablagen ein geschlossenes zweiteiliges Fach, das sich von links und rechts mittels Schiebetüren öffnen lässt, die anfangs etwas schwergängig sind, also nicht zerren. Hier kann man seinen Hamster kühl halten oder eben Butter bzw. Käse.

Die herunterklappbare zusätzliche Ablagefläche ist so konstruiert, dass ich ein ständiges Auf- und Zuklappen vermeiden werde. Ich traue den Plastikteilen, in denen das Gestänge einrastet, eine allzu häufige Belastung nicht zu, aber das ist lediglich eine Einschätzung.

Und dann hat das Gerät noch ein nettes Gimmick: Im Kühlteil ist ein runder schwarzer Sticker angebracht, auf dem ein „OK“ erscheint, wenn die Temperatur +4 Grad oder weniger beträgt, also nicht versehentlich mit dem restlichen Klebeband/Aufklebern entfernen. (Zum Glück hatte ich vorher die Bedienungsanleitung gelesen.)

Eine Urlaubsschaltung ist vorhanden, aber so unnötig wie ein Kropf – ob ich jetzt auf den „Urlaub“-Schalter drücke oder die Temperatur im Kühlteil manuell auf +14 Grad hochfahre, dürfte wohl egal sein.

Zur Geräuschentwicklung: Das Gerät gluckert zeitweise ziemlich laut, das kenne ich von unserem alten Gerät überhaupt nicht. Der Ventilator im Kühlteil ist recht leise und stört somit nicht. Aber angesichts des Gluckerns würde ich es mir zweimal überlegen, ob ich das Gerät für eine in den Wohnraum integrierte Küche auswählen würde.

Übrigens, der Ventilator im Kühlteil dient nicht dazu, auf allen Ebenen - abgesehen von den Boxen - die gleiche Temperatur zu schaffen, so hatte ich es nämlich verstanden. Aber lt. Bedienungsanleitung gibt es weiterhin kühlere und weniger kühle Bereiche im Innenraum, also nicht verwechseln z. B. mit dem Multiflow-System von Bauknecht o. ä., das ja eine gleichmäßige Temperatur bewirken soll (über dessen Effektivität ich aber nichts sagen kann).

Die LED-Beleuchtung ist auch nicht in die Seitenwände integriert wie in der Beschreibung ausgesagt, sondern sitzt mittig am oberen Rand. Die Ausleuchtung ist aber trotzdem wirklich gut. Es ist halt ein sehr kaltes Licht, aber man soll da drin ja auch nicht seinen Abend verbringen.

Noch was zu den Abmessungen des Geräts: Wer bisher ein Gerät hatte, das eine Nummer kleiner war, dem wird erst beim Anblick des Geräts in seiner ganzen stolzen Höhe klar, dass gut zwei Meter eben doch ganz schön hoch ist. Um das oberste Fach bequem bis ganz nach hinten nutzen zu können, sollte man schon wenigstens 1,70 m groß sein oder gleich einen Tritthocker mit dazu bestellen.

Soll das Gerät seitlich an einer Wand stehen, muss bedacht werden, dass bei außenliegenden Griffen ein Mindestabstand von 5 cm gewährleistet sein muss, sonst ist eine 90-Grad-Öffnung der Türen nicht möglich. Alternativ muss man eben den Türanschlag wechseln.

Da wir als Rechtshänder den Türanschlag lieber links haben wollten, haben wir das vor dem endgültigen Aufstellen gleich erledigt. Wer einigermaßen geschickte Hände hat und umsichtig arbeitet, wird die Türanschläge ohne Probleme und Kratzer wechseln können. Es ist allerdings sinnvoll, der Anleitung zu folgen und diese Arbeiten tatsächlich am gekippten und nicht am stehenden Gerät auszuführen. Einige Schraubenabdeckungen lassen sich übrigens nicht zerstörungsfrei abhebeln ohne Beschädigungen am Lack zu riskieren, aber es liegt ausreichend Ersatz bei. Grundsätzlich ist es sinnvoll, beim Türanschlagwechsel zu zweit zu sein.

Noch ein wichtiger Punkt: Bei Geräten, die ein größeres Gefrierteil haben, kommt die Unterkante des Kühlteils meist etwa auf Arbeitsplattenhöhe, sodass die Tür auch über den 90-Grad-Winkel frei schwingen kann, was beim Einräumen der Einkäufe praktisch ist. Dies ist hier nicht der Fall, die Tür des Kühlteils reicht ein gutes Stück unter Arbeitsplattenniveau. Das sollte man beim Türöffnungsradius bedenken. Die Türen sind übrigens leicht gewölbt, aber nicht so stark wie bei echten Retrolook-Geräten.
Noch ein allgemeiner Tipp: Der Trend geht zwar zu Geräten in Edelstahl oder Edelstahl-Optik, für die weiße Ausführung spricht aber, dass sie wesentlich weniger dominant wirkt. Wer sein Gerät also in einer dunklen Ecke oder einer kleineren Küche aufstellt, sollte das bedenken.

Jetzt noch mal etwas zur Lieferung: Da das Gerät mit Verpackung noch mal ein Stück höher und umfangreicher wird, sollte vor der Anlieferung sichergestellt sein, dass freier Zugang zum Aufstellungsort gewährleistet ist. Wer einen sehr schmalen oder vollgestellten Flur hat bzw. eine sehr enge Küche, der dürfte Probleme bekommen. Ich schätze mal, 80 cm breit muss der Durchgang schon sein, beim Drehen sollte der Platz nach hinten dann wenigstens 100-120 cm betragen, um unter einer normalen Zimmertür durchzukommen. Die Zugänglichkeit war bei uns recht gut, aber die Jungs von Hermes kamen trotzdem ganz schön ins Schwitzen.

Wer nicht gerade als Kind in den Zaubertrank gefallen ist bzw. über willige Helfer mit Muckis verfügt, sollte ohnehin von einer Lieferung bis Bordsteinkante absehen, wenn das Gerät nicht gerade im EG stehen soll. Also nicht einfach das billigste Angebot nehmen, sondern kalkulieren, ob eine Bestellung bei Amazon direkt nicht die günstigere Alternative ist, da dort die Lieferung bis Aufstellungsort bereits enthalten ist.

Mein Fazit: Das Gerät ist optisch sehr ansprechend, von der Benutzung her gut durchdacht und – nach heutigem Standard wohlgemerkt – ordentlich verarbeitet, deshalb gibt es erst mal volle fünf Punkte. Ob die gerechtfertigt sind, muss die Zeit zeigen."
;223;23. Jun 13;Konovalova Tatjana;;5;Toller Kühlschrank!;Ich bin sehr mit meinem Auswahl zufrieden! Das Gerät sieh nicht nur toll aus, ist auch groß und leise in vergleich mit dem alten.
;224;24. Jun 13;Andreas A;;4;Gute Verarbeitungsqualität;"Sehr gut verarbeitet. Innenleben macht einen hochwertigen Eindruck. Ist teilweise etwas laut.
Fingerabdrücke auf oberfläche sind deutlich sichtbar. Wechsel der Anschlagsseite war problemlos, Hilfe des Kundendienstes ist hierfür nicht erforderlich bei handwerklichen Grundkenntnissen."
;225;24. Jun 13;Markowitz;;5;Tolles Gerär und toller Service;Der Kühlschrank ist wirklich sehr gut. Ich kann das Gerät uneingeschränk empfehlen. . . . . . . Alles super!!!
;226;25. Jun 13;Daniela Henning;;4;Geräumige Kühl-Gefrierkombination;"Das Gerät est sehr geräumig. Es ist tatsächlich recht laut, es steht bei uns allerdings in einer Kammer, daher stört es nicht weiter.
"
;227;27. Jun 13;Martin Majewski;;3;"""nicht schlechtes"" Gerät, aber LAUT…VIEL ZU LAUT";"Zu den ganzen Funktionen und funktionalen Eigenschaften möchte ich jetzt nicht mehr viel sagen, man kann sich sowohl beim Hersteller, als auch hier bei Amazon genügend Informationen zum Siemens Gerät holen.

Wir haben uns den Kühlschrank vor kurzem über Amazon gekauft und wie immer war der Lieferservice top. Auch den alten Kühlschrank haben wir - gegen eine kleine Gebühr - abholen lassen.
Den Kühlschrank selbst empfinden wir auch als sehr funktional. Er bietet viel Platz, ist unserer Meinung nach auch sehr gut beleuchtet und wirkt auch wertig verarbeitet. Dafür gibt es auch drei Sterne mit der Bezeichung ""nicht schlecht"".

Schlecht ist er wirklich nicht, aber laut! Sehr laut. Dabei kommt die Lautstärke weniger vom Kompressor. Dieser surrt für einen Kühlschrank dieser Größe im Grunde sehr gemütlich vor sich hin. Der Ventilator und Kompressor schalten sogar ab, wenn man die Tür öffnet. Die Lautstärke kommt viel mehr vom Kühlmittel. Das Gerät blubbert, gurgelt und zischt so laut und energisch vor sich hin, dass man meinen könnte das Gerät hätte Verdauungsprobleme.
Die Geräuschkulisse schwankt über den Tag hinweg, aber sie ist immer deutlich wahrzunehmen - auch aus dem Nachbarzimmer und leider auch aus dem Schlafzimmer.

Die Frage ist nun: Behalten, oder Reklamieren. Vom reinen Aufbau her ist der Kühlschrank genau unser Geschmack. Wenn es sich dabei um ein Montagsgerät handelt, dann wäre die Reklamation vielleicht genau das Richtige. Sollte es aber produktbedingt sein, dann hilft auch ein Wechsel zu Bosh nichts - gleiche Geräte, unterschiedlicher Name."
;228;28. Jun 13;Thomas Maurer;;5;Klasse Produkt / spart wirklich Strom;Spart Strom, ist leise, erfüllt alle Ansprüche. Kühlt optimal. Würde Gerät sofort wieder kaufen. Frontlack etwas empfindlich. Aber für den Preis in Ordnung
;229;08. Jul 13;Caroline Hindelang;;5;Einsame Spitzenklasse und billiger als woanderst;"Das ist echt ein kleines Raumwunder, kann ich nur jedem Empfehlen.
Lohnt sich echt...
Kann man gut und sicher kaufen."
;230;09. Jul 13;Markus Scherzinger;;4;Soweit sind wir sehr Zufrieden;"Haben das Produkt nun seit einem Monat in Betrieb und sind sehr zufrieden damit. Macht alles was man von einer Gefriehrkombination erwarten kann. Wir haben nun endlich mehr Plazt, die alte ist uns einfach zu klein geworden. Ein Stern Abzug, da die ""Kühlgeräusche"" lauter sind als bei unserer alten KG-Kombination, da hat man gar nichts gehöhrt. Am Anfang empfanden wir es störend, aber jetzt fällt es uns schon gar nicht mehr auf.
"
;231;09. Jul 13;Mike;;5;Gewagt-Gewonnen;Wir haben lange hin und her überlegt, ob wir diesen Kühlschrank kaufen, weil wir wegen einiger Bewertungen bzgl. der Geräuschentwicklung Bedenken hatten. Trotzdem haben wir den Versuch gestartet und sind nach zwei Wochen nicht enttäuscht worden. Manche Feedbacks über die Lautstärke können wir nicht teilen-im Gegenteil. Die Geräuschentwicklung ist fast flüsterleise und deutlich weniger als bei unserem Vorgängermodell. Wir haben den Kühlschrank in einer Wohnküche stehen, würden ihn aber auch für eine offene Küche ohne Einschränkungen als tauglich erachten. Auch vom Stauraum waren wir positiv überrascht. Aufgrund der vorher gesehenen Bildern und Videos hatten wir hier weniger vermutet und erwartet. Gesamtfazit nach zwei Wochen: Wir würden wieder kaufen.
;232;09. Jul 13;monika;;4;Alu - sieht gut aus - etwas laut….;Dieser Alu - Kühl-Gefrierschrank hat einen schönen Platz in unserer Küche gefunden. Als Preis-Leistung ist das OK. Ist aber etwas laut…
;233;11. Jul 13;Bernd Luebeck;;5;Siemens KG39EAI40;Das Produkt entspricht unseren Vorstellungen. Der Lieferservice wurde schell und fachgerecht durchgeführt. Wir sind sehr zufrieden. Wir können den Shop jederzeit empfehlen.
;234;17. Jul 13;"M. Pfab ""monpi""";;5;sehr zufrieden;"bin super zufrieden mit der Kombi. sehr leise im gegensatz zu meinen 12 jahre alten komischrank. hab eine ess küche und man hört ihn nur leise brummen oder summen, was gar net stört. macht er ja net immer. passt sehr viel rein. schön übersichtlich. das gemüse fach ist schön groß und bleibt wirklich lange frisch, ist sein geld wert!!
"
;235;17. Jul 13;Andreas Zahn;;5;Super Artikel;Super Artikel, der seiner Beschreibung gerecht wird. Möchte ich nicht mehr missen. Bestimmt kein Fehlkauf. Preis / Leistung ist super.
;236;18. Jul 13;MeinerEiner;;5;Super Kühlschrank;"Wir sind mit dem Kühlschrank super zufrieden. Er steht bei uns in einer offenen Wohnküche und er stört in keinster weise beim TV gucken oder wenn man sich unterhält. Ab und zu ""blubbert"" er ein bisschen, aber das hält sich in Grenzen.
Auch mit dem Platzangebot sind wir vollkommen zufrieden.

Alle in allem eine gute Kaufentscheidung."
;237;18. Jul 13;Ines (Neustadt a.Rbge);;1;Achtung! Kein Nofrost!;Ich möchte hiermit nicht das Gerät als solches kritisieren, sondern vielmehr die Artikelbeschreibung. Die Kühl-Gefriekombination besitzt die nicht ausgewiesene No frost Funktion,was ich direkt beim Hersteller erfahren habe.Dort heißt es das das Gerät eine lowfrost funktion hat.
;238;20. Jul 13;Oliver;;3;Eigentlich gut..;"Eine schnelle Lieferung und solide Verarbeitung haben mich überzeugt.
Ich ziehe allerdings 2 Sterne ab, da mich eins wirklich sehr ärgert.
Alle Gefrierfächer haben einen ""Stopper"", der verhindert, dass die Schublade aus der Führung rutscht. Warum hat man dies nicht auch bei der untersten Schublade gemacht?? Diese knallt mir regelmäßig auf die Füsse und das nervt einfach nur ungemein.
Es ist für mich einfach nur unverständlich, warum man gerade die letzte, die sowieso nur halb so tief ist, nicht auch mit einem ""Stopper"" versehen hat. Gerade hier ist man ja geneigt, die Schublade weiter als man sollte herauszuziehen, weil man nicht mehr daran denkt, dass sie ja nur halb so tief ist."
;239;20. Jul 13;Rick Fastenrath;;5;Super Teil.;"Habe das Teil jetzt seit ca. 2 Wochen im Einsatz und es läuft super. Die Boxen für Fleisch und Grünzeug funktionieren wie beschrieben. Gemüse bleibt tatsächlich sehr viel länger frisch. Fleisch ist immer zu schnell leer :P

Er ist super fix und macht kaum hörbare Geräusche. Man hört mal ein Surren oder ein kurzes Brummen aber das ist immer mal kurz und geht selbst beim Frühstück ohne Radio im Hintergrund unter. (Nein ich wohne nicht an einer Hauptverkehrsstraße. Küche geht zum Hinterhof raus :) )

Die Lieferung war erste Sahne. Auf die Minute pünktlich und 10 Min später stand das Teil im dritten Stock am Wunschplatz.

Für den originalen Preis hätte ich die Kombi wahrscheinlich nicht gekauft. Das hätte mein Budget gesprengt. Aber So wie er runtergesetzt wird und dann noch bei Stiftung Warentest als Stromsparsieger.... Da dachte ich: kann man nix falsch machen. Und bis jetzt ist es auch so."
;240;20. Jul 13;Alexander Niepel;;2;laut;"Tja, ich lese immer die negativen Bewertungen zu erst, weil eigentlich immer was dran ist; auf jeden Fall gibt es dort die wichtigeren Informationen als inder Jubellobpreisungen. Ich hatte gelesen, dass der Kühlschrank Geräusche macht, und vielen haben dazu ""Nein, stimmt nicht"" gesagt. Stimmt aber doch. Ich hatte gehofft, dass es nicht so schlimm ist, weil es nicht viele Alternativen zu Siemens / Bosch gibt, wenn man A+++ will. Dass er aber lauter als mein 10 Jahre alter A Siemens Einbaukühlschrank ist, war dann doch eine Ernüchertung. Er gluggert gern vor sich hin. Nicht laut, aber mich stören Geräusche von Elektronikgeräten (besonder eklig sind da oft Netzteile). Hier ist es auf einer Ebene, dass man es sofort wahrnimmt, wenn man in die Küche kommt, aber noch nicht so laut, dass man sofort wies, was los ist."
;241;21. Jul 13;"Wolfram Erber ""Mucki""";;4;Was will man mehr?;"Das Platzangebot ist sehr gut, die Bedienung ziemlich einfach.
Dass das Gerät sehr energiesparend ist, freut mich umso mehr, da ich schon immer mal
eine bessere Kühlgefrierkombi wollte. Die Kühlwirkung ist einwandfrei und hatte bisher keine Probleme.

Praktisch ist auch, dass man die ""Füsse"" sehr gut justieren kann, um Bodenunebenheiten auszugleichen.

Einziger Schwachpunkt ist die Frontseite, die jede Delle und Kratzer sofort sehen lässt. Da müsste der Hersteller sich was einfallen lassen.
"
;242;22. Jul 13;Monika Schweers;;5;Siemens KG39EAW40;"Gewählt habe ich das Gerät wegen der Energieersparnis.
Besonders gefällt mir das Überschauliche Unterbringen des Gefrier- und Kühlgutes.
Sehr leise."
;243;22. Jul 13;Christian Steller;;5;Top!;"Top!
...ein wenig laut - ist aber bei allen Geräten mit der verwendeten Technik so...

...Kühlfach für Obst/Gemüse hervorragend - bleibt wirklich alles sehr viel länger frisch…"
;244;23. Jul 13;Felix;;5;Tolles Gerät;"Tolles Gerät sehr viel Platz sehr effizient. Ab und zu gluckert er und macht Geräusche, aber nicht zu laut. Kann ich nur empfehlen zum Zeit meines Kaufes war Amazon der günstigste Anbieter. Super schneller Versand.
"
;245;28. Jul 13;Werner Kolbe;;5;Top Gerät;Die Kühl-Gefrierkombination ist seit 1 Woche in Betrieb und hält was die Beschreibung des Gerätes verspricht. Blubbergeräusche, die andere Bewerter beklagen, empfinde ich nicht als störend. Nochmals vielen Dank für die Abwicklung seitens Amazon, sowie der Spedition und seinen kompetenten Mitarbeitern für deren schnellen und reibungslosen Lieferung.
;246;29. Jul 13;Gregor P.;;4;Ideal für eine vierköpfige Familie;Die vielen Bewertungen haben uns bei der Kaufentscheidung sehr geholfen, dafür nochmal vielen Dank. Nun steht der Kühlschrank auch bei uns zu Hause. Insgesamt sind wir rundum zufrieden. Optik und Verarbeitung sind gut und der Kühlschrank bietet ausreichend Platz. Zwei bereits oft genannte Kleinigkeiten muss man aber erwähnen. 1. Der Kühlschrank ist mit 201 cm wirklich hoch und recht schwer. Wir wohnen in einem verwinkelten Altstadthaus einer Hafenstadt und haben ihn nur mit Mühe und Not in unsere Küche bekommen. Man denkt schnell bei 201 cm ist das Platzangebot überschwenglich, durch die etwas stärkere Isolierung in der A+++ Gruppe, ist dem aber nicht so und wir waren froh, uns für das große Modell entschieden zu haben. Trotzdem braucht man sich über das Platzangebot und die intilligente Aufteilung nicht beschweren. 2. Es handelt sich um ein technisches Gerät und ja, der Kühlschrank macht Geräusche. Wenn man sich normal unterhält, wird man davon aber nicht übertönt. Wir empfinden es also nicht als störend. Wenn man aber sehr geräuschempfindlich ist, sollte man sich ein leiseres Gerät zulegen.
;247;29. Jul 13;Rollo;;2;Türablagen;"Die Halterung der beiden obersten Türablagen (Eierablage) ist nicht ordnunggemäß.
Grund: eine mangelhafte Arretierung der Ablagen in der Tür.
Kaufgrund war eine positive Beurteilung in Stiftung Warentest,
vielleicht sollten die Tester sich Rat von Hausfrauen einholen.
Beim öffnen der Schranktür lagen die Eier samt Ablage auf dem Boden - eine riesige schweinerei.

Für mich ist das keine Kaufempfelung, also im Elektrofachhandel sich informieren."
;248;30. Jul 13;Claudia;;5;Super!!!;"Wir sind sehr zufrieden! Der Kühlschrank ist sehr leise, Türen ließen sich problemlos umbauen! Fingerabdrücke trotz ""no Finger Print"" sichtbar!"
;249;30. Jul 13;Dausenauer;;5;Tolles Preis-Leistungsverhältnis;"Die KG39EAL40 Kühlgefrierkombination hält das, was der Hersteller verspricht.
Das Gerät sieht edel aus und ist qualitativ gut verarbeitet.
Hier stimmt das Preis-Leistungsverhältnis.
Unser Gerät läuft sehr leise und hat keine, wie teilweise beschrieben, blubbernde und gurgelnde Geräusche.
Das Produkt können wir bedenkenlos weiterenpfehlen."
;250;02. Aug 13;Anna H;;5;Gute Produkt für gute Preise :);"Gute Produkt für gute Preise :)
Diese Produkt gefällt mir, bis jetzt Ich bin zufrieden. Kann ich nur weiter empfehlen.
Danke!
"
;251;03. Aug 13;Hectorbe;;5;zufrieden;"Wir hatten erst bedenken so große Artikel zu bestellen, sind aber angenehm überrascht das alles so gut geklappt hat. Die Lieferung war in ordnung und auch der Betrieb ist einwandfrei. Schön hell, leise und viel platz, wir sind zufrieden.
"
;252;04. Aug 13;Christian Klos;;5;Sehr gut;"Bestes Gerät welches ich bisher hatte
viel Raum zum lagern von Lebensmitteln und Gefriergut
sehr sparsam im Stromverbrauch und edles Aussehen in Edelstahl mit Fingerprint bei sehr gutem Preis"
;253;09. Aug 13;"schnuppe ""heitho""";;5;Mein Kühlschrank!!;"Ein tolles Gerät!!!Sehr leise!!Komplikationfreie Lieferung !!!
Endlich hat all das Gemüse und Obst auch einen Platz!!Es hält doppelt so lange in der Crisperbox.
Auch die Coolbox ist klasse,zum Lagern von Wurstwaren oder Frischfleisch.
Außerdem sieht er klasse aus.
Ich kann dieses Gerät nur empfehlen und würde es sofort wieder kaufen!!!
"
;254;11. Aug 13;Michael Schopper;;5;Top Protukt!;Alles super so wie es beschrieben und vielen Dank an die Lieferanten, die haben beim Transport an den gewünschten Ort auch noch angepackt!
;255;12. Aug 13;Niko Wolf;;3;Fast perfekt.;"Super Gerät, fast alles so wie erwartet und beschrieben.

Leider stand in der Beschreibung nicht das die Seitenteile aus Kunststoff sind und nicht wie
die Tür aus Edelstahl."
;256;12. Aug 13;Therese Hussain Mirza;;5;Kühl-Gefrier-Combi;"Die Combi ist sehr gut. Die Raumaufteilung sehr gut und übersichtilich. Wir haben die Tür auf die andere Seite gewechselt und dies ging problemlos und sieht sauber aus.
"
;257;18. Aug 13;Matthias Stadler;;5;3A+;"Bin begeistert von diesem Produkt, super Einteilung der Fächer, absolut geräuscharm und hoffentlich so stromsparend wie beschrieben. Artikel ist sein Geld dann absolut Wert.
"
;258;18. Aug 13;I.S.;;4;Verbesserung;"Ich habe mir diese Kühlgefrierkombi angeschafft, weil sie laut Stifung Warentest super gut abgeschnitten hatte. Alles scheint den Urteilen zu entsprechen, nur manchmal macht sie irgendwelche ""Umwälzgeräusche"", die mich anfangs irritiert haben, aber nicht nicht lange dauern und ich mich mittlerweile daran gewöhnt habe. Sie stören nicht wirklich, ich war eher überrascht, das dieses Teil, superleise, überhaut ""Töne"" von sich gibt. Stauraum super, Aufteilung gut, Fleischkühlfach, Obstkühlfach - alles top."
;259;24. Aug 13;Eniya;;5;Super Gerät!;Den Kühlschrank haben wir nun seit etwa einem halben Jahr. Dieser sieht nicht nur toll aus und man hinterlässt dank seiner besoderen Oberfläche auch keine Fingerabdrücke, er tut auch das, was er soll! Er kühlt wirklich zuverlässig und warnt, wenn eine Tür nicht richtig verschlossen wurde. Ich empfehle es jedem weiter!
