,,,sterne_de,zeit,sterne,titel,beschreibung,
,,,5.0 von 5 Sternen,29. Juni 2014,5,Die Geheimwaffe der Athleten! (Ich empfehle eine Größe kleiner als normal),"Einfach immer wieder gut dieses Nike Pro. Auch jetzt in der neuen Generation.,(Diese erkennt man z.b. an der Umlaufenden Naht vorne auf Bauchnabelhöhe) das alte Pro hatte da keine weiße Naht.,Ich würde das Shirt eine Nummer kleiner als normal nehmen, dann ist es schön eng (aber auch noch nicht zu eng).,So hat man eine richtig schöne Kompression und man spürt seine Muskeln richtig.,ich verwende bei 101.Kg und 1,91 Meter Athletisch. Größe L anstatt XL.,Beim Training fühlt man sich einfach Trocken da der Schweiß nach außen Transportiert wird. Ebenso kühlt das Shirt leicht auf der Haut.,Trotzdem bleibt die eigentliche Wärme aber im Körper. Genial!,Mit dem Shirt Trainiert es sich einfach immer besser und angenehmer. Man fühlt sich einfach Klasse,,Ich will nicht mehr ohne!",
,,,5.0 von 5 Sternen,10. Juli 2014,5,Nike Herren shirt,Habe bereits mehrere Shirts gekauft und bin damut sehr zufrieden. Die Passform ist hervorragend. Das Tragegefühl ist sowohl bei Wärme/Hitze als auch bei Kälte super. Bzgl. der Größe empfehle ich eine Nr. größer als die normale Kleidergröße zu wählen.,
,,,4.0 von 5 Sternen,4. Juli 2014,4,Wie eine zweite Haut,"Fällt kleiner aus als gedacht und rutscht beim Laufen hoch, da es keinen Gummibund besitzt. Ansonsten top und ein klasse Tragegefühl ohne spürbare Nähte.",
,,,5.0 von 5 Sternen,20. Juli 2014,5,Super Traningsshirt,"Passt wie angegossen. Schönes Design, Passform normal, macht was es soll... :),Ist also seinen Preis wert, hab mir noch eins bestellt.",
,,,4.0 von 5 Sternen,19. April 2015,4,Nike Pro Combat Black,"Sehr schöner Artikel der Marke Nike,Liegt wie erwartet eng am Körper und ist ideal für den Sport,Immer wieder gerne!",
,,,5.0 von 5 Sternen,14. April 2014,5,Sehr gute Qualität,"Mein erstes Teil von NIKE und ich muß sagen es erfüllt in allen Punkten meine Vorstellungen,sehr dehnbar, ist schnell trocken, feuchtigskeittransport nach außen sehr gut.,Einfach perfekt, würde ich immer wieder kaufen.",
,,,5.0 von 5 Sternen,14. Mai 2014,5,Sehr angenehm zu tragen...,"Sehr gute Qualität. Größe fällt ganz normal aus, passt perfekt. Ideal während des Fußballtrainings. Können es auf jeden Fall weiter empfehlen.,Sehr schnelle Lieferung, alles TOP!!",
,,,1.0 von 5 Sternen,6. Mai 2014,1,Too small,"For me Medium was too tight (I always have medium easily, except for Italian labels, where I have to wear Large), so I gave them to my nephew.",
,,,5.0 von 5 Sternen,23. Juli 2014,5,Super Tragekomfort und günstig,"Sitz Super, ich selber nutze es zum joggen und bin irklich überrascht wie angenehm das Material ist!!! Klare Kaufempfehlung meinerseits",
,,,5.0 von 5 Sternen,16. Mai 2014,5,Empfehlenswert,"Habe das Shirt für meinen Freund gekauft. Der ist absolut zufrieden. Er hat bereits ein solches Shirt von Nike, das er allerdings vom Sportgeschäfft hatte (war dort wesentlich teurer)",
,,,5.0 von 5 Sternen,7. Dezember 2014,5,"Fällt klein aus, sonst Top","Habe normalerweise die Größe M und habe sie aber in Größe XL gekauft, jetzt sitzt es perfekt. Es ist sehr angenehm zu tragen und habe es schon auf den ersten Trekkingtouren ausprobiert. Auch wenn man völlig verschwitzt ist, trocknet der Schweiß auf der Oberfläche des T-Shirts. Musste es bei einer Zwei-Tage-Tour ohne Ersatz tragen. Hatte es Abends nur gelüftet und hat am nächsten Tag nicht nach Schweiß gerochen. Habe mir es gleich noch zweimal nachbestellt, in Schwarz und Grau.",
,,,5.0 von 5 Sternen,2. Dezember 2014,5,"Super Shirt als Unterhemd, preiswert","Dieses Shirt eignet sich sehr gut als Unterhemd, wobei es entstehenden Schweiß zügig abführt (dabei fühlt es sich kühl an).,Durch die sehr enge Passform vermittelt das Shirt ein sportliches Gefühl.,Das Nike-Logo scheint unter Umständen durch.,Natürlich muss man solche Materialen nach dem Tragen mit Wasser spülen, oder gleich waschen, um dauerhafte Gerüche im Stoff zu vermeiden. Wenn man es nass aufhängt, dann trocknet es zügig (im Vergleich zu Baumwolle).",
,,,3.0 von 5 Sternen,30. Januar 2015,3,Kunstfaser...,"Wie beschrieben, sitzt dieses Shirt hauteng am Körper. Gerade diese Enge, verbunden mit der Kunstfaser direkt auf der Haut, finde ich nicht besonders angenehm. Zwar transpotiert das Material Feuchtigkeit gut nach außen, dennoch schwitzt man überraschend schnell in diesem Shirt und das fühlt sich dann irgendwie so an, als wenn man eine Kunststofffolie auf der Haut hat. Auch die am Bauch quer verlaufende Naht finde ich nicht so toll.",
,,,5.0 von 5 Sternen,3. Juni 2014,5,Top!,"Einfach super, spitzen Verarbeitung, angenehm zu tragen!,Kann ich wirklich nur weiter empfehlen. Ich nutze es selbst bereits seit einigen Wochen regelmäßig und es weisst noch keine Abnutzungsspuren auf.",
,,,5.0 von 5 Sternen,27. August 2013,5,Sehr gute Haltbarkeit,"Die bestellte Größe passt, die Farbe ist schön, Länge gut und auch nach mehreren Wäschen alles in Ordnung.,Kaufempfehlung!,Da macht Sport Spaß!",
,,,5.0 von 5 Sternen,1. Dezember 2013,5,angenehm leicht,Das Trikot besteht aus sehr angenehm leichtem Material. Es kratzt nicht und ist daher ideal für alle Sportarten geeignet. Man spürt es praktisch nicht.,
,,,5.0 von 5 Sternen,8. Februar 2013,5,Nur zu Empfehlen,Es gibt nicht viel zu sagen da das Trainingsshirt einfach Hamma ist. Es ist sehr leicht und Verklebt nicht wenn man beim Trainieren schwitzt. SUPER,
,,,5.0 von 5 Sternen,6. September 2013,5,Alles ok.,"Sitzt gut, sehr Bequem, ist auch ordentlich Genäht und gut Verarbeitet. Bin sehr zufrieden mit dem Produkt und würde das weiter empfehlen.",
,,,5.0 von 5 Sternen,30. August 2013,5,Top Qualität,"Sehr angenehm zu tragen, gute Passform, sehr guter Flüssigkeitstransfer nach außen. Ich kann es nur empfehlen und würde es wieder kaufen.",
,,,5.0 von 5 Sternen,2. Juni 2013,5,"Puma Herren Training T-Shirt Foundation team violet-black XL, 65309",Das Shirt entspricht genau meinen Vorstellungen. Es trägt sich sehr angenehm und trocknet sehr schnell. Man kann es nur weiter empfehlen.,
,,,5.0 von 5 Sternen,7. Mai 2013,5,T-Shirt,"alles super und ok., sehr schön, wie vorgestellt. Ich bin sehr zufrieden!!,Würde immer wieder kaufen wenn die Qualität immer so ist.",
,,,5.0 von 5 Sternen,26. September 2013,5,PUMA T-Shirt Foundation,"Habe das Trainingsshirt um 9,95€ inkl. Versand gekauft. Material = 100% Polyester. Das Material ist dünn und angenehm zu tragen. Um knapp 10 Euro definitiv wert es zu kaufen.",
,,,5.0 von 5 Sternen,12. November 2014,5,Super Preis/Leistung,Echt gutes Shirt. Man schwitzt kaum und man bleibt warm. Es ist jedoch ziemlich eng geschnitten am Hals... Stört mich persönlich nicht.,
,,,5.0 von 5 Sternen,14. April 2014,5,Schönes Shirt,"Das Shirt ist qualitativ sehr gut, leider war das Shirt meinem Sohn zu kurz. Wenn man nicht grade 2m groß ist, wird es bestimmt passen.",
,,,5.0 von 5 Sternen,19. Dezember 2014,5,Gute Qualität,"Zum Training optimal. Auch wenn man stark schwitzt, sieht man das nicht. Für den Preis allemal sehr gut. Würde ich wieder kaufen",
,,,5.0 von 5 Sternen,16. April 2013,5,Super Shirt,"Das Shirt ist super. Die Passform ist wie beschrieben und angenehm zu tragen. Die Lieferung war schnell wie immer.,Wie es mit der Langlebigkeit aussieht wird man sehen.",
,,,5.0 von 5 Sternen,14. August 2014,5,top Quali,"geniale Qualtiät für den Preis!,Liebe es und finde es sehr angenehm zu tragen! würde es jederzeit wieder kaufen - wenn ich wieder ein Laufshirt brauche - dann dieses",
,,,5.0 von 5 Sternen,28. August 2013,5,Hält warm,"Auch bei Übergangstagen warm genug, trotzdem schwitzt man nicht. Angenehm auf der Haut und dazu chick. Ich trage es zum Laufen und beim Kraftausdauersport. Allrounder!",
,,,4.0 von 5 Sternen,12. April 2015,4,kann man empfehlen,"Das Shirt entspricht seinem Preis-/Leistungsverhältnis.,sieht gut, aus Tragekomfort ist sehr angenehm, lässt sich auch bedrucken für Vereine deshalb gut geeignet",
,,,5.0 von 5 Sternen,7. August 2014,5,Okay,Es passt meinem Freund und er findet es bequem also alles in allem ein gutes shirt das wird er sich bestimmt noch einmal bestellen wenn das andere nicht mehr passt^^,
,,,4.0 von 5 Sternen,13. April 2015,4,Sehr gutes Preiß Leistungsverhältnis,Das T-Shirt hat eine gute Qualität. Besonders die Farbkombination gefällt sehr gut. Atmungsaktivität beim Sport funktioniert auch.Kann man weiteremphelen. Prima.,
,,,5.0 von 5 Sternen,21. April 2013,5,tolle Qualität,tolle Qualität und gutes preis-Leistungsverhältnis. leichter trage Komfort und sehr gute Verarbeitung kann ich für dieses Teil bestätigen und weiter empfehlen,
,,,5.0 von 5 Sternen,23. Dezember 2014,5,gut,"Die Passform ist gut, der Tagekomfort hervorragend und die Qualität ist ok. Ich habe es gekauft in Amazon outlet und es warok es ist immer der beste preis.",
,,,5.0 von 5 Sternen,27. Februar 2014,5,Spitze,"Das Shirt ist nun mittlerweile das 8. Puma Shirt und ich bin jedesmal aufs neue begeistert. Sehr angenehm zu tragen auf der Haut, wird nicht nass. Spitze",
,,,4.0 von 5 Sternen,5. August 2013,4,Super Funktionsshirt!,"Habe 2 dieser Funktionsshirts seit einigen Wochen zuhause und bin begeistert. Der Stoff ist sehr leicht und angenehm zu tragen, lässt sich gut waschen und sitzt perfekt. Für den Preis gibt es wohl kaum etwas besseres. Einen Punkt abzug wegen der relativ engen Ärmel. Für Leute mit muskulöseren Armen könnte es etwas knapp werden.",
,,,5.0 von 5 Sternen,26. Juni 2013,5,Preis-Leistung Top,"hab mit gleich zwei geholt (blau-gelb und grau-grün) als sie für ~13€ zu haben waren. Toller Deal für Markenshirts.,Die Hemden sind sehr leicht und trocknen schnell. Beim Laufen hat man eine gute Belüftung durch den Mesh-Stoff an den Seiten unter den den Armen. Angenehm am Hals und schöne kräftige Farben.",
,,,4.0 von 5 Sternen,1. August 2014,4,optimal für den sport,wird kaum nass auch wenn man viel schwitzt und trocknet sehr schnell. die qualität ist gut und der stoff kratzt nicht. jedoch nur 4 sterne da dieses shirt nichts für leute mit einem stiernacken ist da der hals etwas eng geschnitten ist. ich habe einen schmalen(normalen???) hals da passt es sehr gut.,
,,,5.0 von 5 Sternen,22. Oktober 2013,5,angenehm und leicht auf der haut,"sehr gute passform, sehr angenehm auf der haut und auch die größenbeschreibung passt perfekt. lässt sich einfach waschen und auch beim sport liegt das shirt wie eine zweite haut an. mein freund, der das shirt nutzt, meinte auch, dass er durch den atmungsaktiven stoff weniger schwitzt - also super.",
,,,5.0 von 5 Sternen,19. Juni 2013,5,Top Shirt und guter Preis,"Das Shirt ist voll zufriedenstellend. Es leitet den Schweiß gut ab, ermöglicht eine freie Bewegung und weißt bis jetzt (habe es erst ca. 1 Monat, trainiere aber häufig damit) keine Verschleißspuren oder Qualitätsmängel auf. Alles in allem würde ich den Kauf bei Bedarf erneut tätigen.",
,,,3.0 von 5 Sternen,25. August 2013,3,Angenem,"Sehr angenem beim Training da durch das es ein Funktionsshirt ist und auch sehr leicht ist ein angenemer Tragekomfort,sselbst die Feuchtigkeit wird Außen gebracht aber es schaft nicht die ganze Feuchtigkeit von der Haut zu enfernen es bleibt eine Restfeuchte  zurück.",
,,,5.0 von 5 Sternen,12. Oktober 2013,5,"Super Shirt, für breite Personen vielleicht etwas eng","Super Shirt, trage es zum Laufen und ins Fitnessstudio. Bin vollauf zufrieden damit. Das Shirt sitz gut (für fortgeschrittene Bodybuilder oder breitere Personen vielleicht etwas eng) und leicht, ist atmungsaktiv und sieht gut aus. Würde es wieder kaufen.",
,,,5.0 von 5 Sternen,4. Mai 2015,5,Puma T- Shirt,"Passend: T-Shirt, Trainingsanzug und den Puma Faas - Alles grün, wie wunderschön - einfach, schlicht und leicht ... und doch so ergreifend.,Leute schaut bei Puma rein - es kann die coole Freude sein! ... und ... Amazon: Master of Logistix",
,,,5.0 von 5 Sternen,5. Juli 2013,5,Super Qualität,"-Das Material fühlt sich sehr gut auf der Haut an,-Die Größe fällt richtig aus,-Sehr gute Verarbeitung,-Top Preis - Leistungsverhältnis,Ich kann hier absolut nichts bemängeln........schade eigentlich :D",
,,,5.0 von 5 Sternen,2. Februar 2015,5,Gut und Günstig,Das Pume-Shirt habe ich mir hauptsächlich fürs Training im Fitness-Studio geholt. Es sitzt gut und fühlt sich prima an. Für den hier angeboten Preis finde ich die Qualität ordentlich und kann es klar zum Kauf empfehlen.,
,,,5.0 von 5 Sternen,22. April 2013,5,Leute schlagt zu!,"Was für ein klasse Design von Puma, für unter 20,-€ das ist der Wahnsinn. Es kann locker mit Adidas climate oder Nike mithalten, die Passform ist auch super. Daumen hoch, da bleibt nur noch die Frage nach der Farbe ...",
,,,5.0 von 5 Sternen,8. Mai 2014,5,super Qualität zum günstigen Preis,"Ich habe diese T-shirts gewählt, weil ich mit Baumwollgewebe als T - Shirt schlecht Erfahrungen gemacht habe ( Tragekomfort, Wäsche, Ausbleichen,.....etc. ). Angenehm zu tragen ,....waschen, anziehen,...fertig !",
,,,5.0 von 5 Sternen,28. Juli 2014,5,Weiterzuempfehlen,"Material ist gut, die Größe stimmt, es trägt sich sehr angenehm auf der Haut, empfehle ich uneingeschränkt weiter zu dem Preis!",
,,,5.0 von 5 Sternen,20. Mai 2013,5,Optimales Fitness Shirt,Sehr leichtes angenehmes Shirt. Trage es beim Sport und bin damit sehr zufrieden.  Optimal beim Joggen oder im Fitness Center.,
,,,5.0 von 5 Sternen,17. August 2013,5,Super Stoff,Bei diesem  T- Shirt merkt man kaum das man eins an hat... man merkt nicht wenn man schwitzt und es klebt nicht am Körper...,
,,,5.0 von 5 Sternen,13. Januar 2013,5,Super Produkt,"Ich habe dieses T-Shirt nun seit ein paar Tagen und schon jetzt gehört es zu meinen absoluten Favoriten. Die Qualität ist sehr gut, so wie der Preis fast noch besser. Die Lieferung war ebenfalls einwandfrei.",
,,,5.0 von 5 Sternen,8. Januar 2015,5,Super,"Hatte schon Funktionsshirts von Puma und die waren genauso klasse wie die neuen jetzt. Sehr bequem, super Qualität und beim Sport sehr angenehm und erfüllen ihren Zweck absolut!! Klare Kaufempfehlung :o)",
,,,3.0 von 5 Sternen,10. Oktober 2013,3,Etwas eng.,"Etwas eng geschnitten. Insbesondere am Hals, daher zurück. Aber ansonsten hat es einen guten Eindruck gemacht. Der Stoff und die Qualität erschien mir ok. Habs aber eben nicht beim Sport ausprobiert.",
,,,5.0 von 5 Sternen,5. September 2013,5,Top Produkt von Puma,"Für den Preis ein unschlagbares Trainingsshirt.,Ich trage das Shirt beim Fahrradfahren und es ist wirklich Atmungsaktiv. Zudem ist es sehr leicht, dadurch beeinträchtigt es kaum bei Bewegungen.",
,,,5.0 von 5 Sternen,24. Januar 2014,5,Super!,"Mein neues Lieblingssportshirt!,Würde ich mir nochmal kaufen.,Verarbeitung gut, Passform sehr gut. Polyester ist dünn und super atmugsaktiv!,Und gut aussehen tut es auch. :)",
,,,4.0 von 5 Sternen,1. November 2014,4,Toller Stoff,"Super Qualität und Design. Die S Größe fällt meiner Meinung nach groß aus: das T-Shirt ist zu lang. Wahrscheinlich liegt es daran, dass es hinten länger ist als vorne. Ansonsten toll.",
,,,5.0 von 5 Sternen,15. Februar 2014,5,Trainingsshirt,"in der Gesammtheit von Preis, Verarbeitungsqualität, Optik gibt es keinen der es besser macht als Puma.,da braucht nicht lange zu überlegt werden, zu greifen und sich freuen!",
,,,5.0 von 5 Sternen,19. April 2015,5,TOP,"Sehr schnelle Lieferrung gute Qualität.,Werde gene wieder bei diesem Anbieter bestellen.,Das Produckt entspricht meinen Vorstellungen und erwartungen in jeder Hinsicht.",
,,,5.0 von 5 Sternen,27. Februar 2013,5,Puma Herren Training T-Shirt.,"Ist Luft durchlässig, sehr gute Verarbeitung, kann bei Fitness und Joggen getragen werden. Mein Tip für den Sport, sehr gut.",
,,,5.0 von 5 Sternen,29. September 2013,5,"PUMA Herren Training T-Shirt Foundation, puma royal-black, XL, 653096 02",Das Shirt ist sehr hochwertig verarbeitet und es trägt sich einfach super. Nach ca. 20 Wäschgänge ist alles noch wie neu.,
,,,5.0 von 5 Sternen,9. Mai 2015,5,Super Teil,"Sieht schnicke aus, ist funtionell. Wie erwartet, eben ein Sportshirt. Würde ich wieder kaufen . . . . . .",
,,,5.0 von 5 Sternen,20. Juli 2014,5,Optimal,"Habe es zwar seit paar wochen ist mir aber sehr ans Herz gewachsen . Einfach, passt und sieht gut aus .",
,,,5.0 von 5 Sternen,25. Juli 2013,5,shirt,Ware in Ordnung gerne wieder glatte 1 bei Amozon kauft man gut ein passt genau sehr guter kauf alles ok,
,,,5.0 von 5 Sternen,14. März 2013,5,super,Das T-Shirt trägt mein Mann sehr gerne. Es ist pflegeleicht und macht einiges mit. Die Ware war sehr schnell bei uns und ist wie beschrieben.,
,,,4.0 von 5 Sternen,2. Juni 2013,4,Preis Leistung = TOP,"9,95 je Shirt bezahlt und ein gutes Produkt erhalten, dass ich uneingeschränkt weiterempfehlen kann! Die Verarbeitung wirkt sehr gut und der Tragekomfort ist erstklassig!,Das Made in Vietnam auf der Verpackung lässt natürlich wieder ein etwas schlechtes gewissen zurück, da man nicht weiß wer unter welchen Bedingungen dein günstiges T-Shirt hergestellt hat.,Das und die doch (vergleichsweise) hohe Lieferzeit (9 Tage anstatt der üblichen 2-3 Tage, was ich persönlich nicht schlimm finde), verleiten mich dazu 4 Sterne (= Sehr gut) anstatt der 5 Sterne (=Perfekt) zu vergeben!",
,,,4.0 von 5 Sternen,14. Juni 2013,4,Gute Ware!,"Qualitativ sehr gutes Shirt! Trägt sich angenehm auf der Haut. Warum die Firma Puma es allerdings in Vietnam fertigen läßt wird mir ein ewiges Rätsel bleiben.,So etwas kenne ich nur von der Firma mit den 3 Buchstaben  (K..! ),Dort wuürde ich nichts kaufen.",
,,,4.0 von 5 Sternen,29. September 2013,4,Passt!,"Sehr schönes Shirt, Qualität sehr angenehm, wie erwartet.,Einzig das Puma-Logo läuft beim waschen etwas ein, sodass es etwas kleiner als der Shirtstoff wird.,Mich stört es optisch nicht all zu sehr, hätte ich bei einem Markenshirt aber nicht erwartet,",
,,,4.0 von 5 Sternen,18. Juni 2013,4,Puma macht's,"Das T-Shirt ist super verarbeitet, hat auch nach der ersten Wäsche seine Form nicht verloren.,Da ich jedoch etwas breitere Schultern habe (176 cm, 70 Kg) passt es nicht perfekt.,Durchaus empfehlenswert.",
,,,4.0 von 5 Sternen,13. Oktober 2013,4,schönes Shirt,"Fühlt sich gut an, die Verarbeitung ist ebenfalls o.k.,Für den Preis auf jedenfall empfehlenswert.,Ich werde noch weitere Shirts in anderen Farben kaufen.",
,,,5.0 von 5 Sternen,18. November 2013,5,einfach toll,einfach super gleich zwei menschen glücklich ich weilś schnell klappte und mein sohn das er seine sportsachen komplett hat und es in seinen augen einfach cool ist,
,,,4.0 von 5 Sternen,2. November 2013,4,Gutes Preis-Leisungsverhältnis und Top Paßform,"Ein wirklich schickes Shirt mit Top Paßform und gutem Preis-Leistungsverhältnis,,Werde ich mir in anderen Farben auch noch bestellen. Gutes Angebot",
,,,4.0 von 5 Sternen,6. Oktober 2013,4,Puma Shirt,"Shirt fällt größer aus, als man es von puma gewohnt ist. ist aber nicht schlimm. Gutes shirt zum vernünftigen Preis",
,,,3.0 von 5 Sternen,15. Mai 2013,3,nicht zufrieden,"Passform L ist schlecht trotz meiner schlanker Statur, habe sonst auch immer Größe L -Shirts, aber dieses Puma Shirt ist am Hals zu eng, spannt sich an allen Ecken und Enden, also bei Bestellung ein Größe höher wählen. Das Sport Shirt vom Aldi in L sitzt perfekt und ich fühle mich damit 3 mal wohler. Kann es leider nicht mehr zurückgeben, da schon getragen.,Versandabwicklung gut.",
